Name,Beginn,Ende,Ligasieg,Ligator,Pokalsieg,Pokaltor,Europasieg,Europator,Sonstigesieg,Sonstigetor,Gesamtsiege,Gesamttore
"Gaspers, Josef",1929,1929,0,0,0,0,0,0,1,0,1,0
"Gassen, Hans",1948,1949,15,4,0,0,0,0,0,0,15,4
"Gaus, Marcel",2008,2011,40,5,3,1,0,0,0,0,43,6
"Gavory, Nicolas",2022,aktiv,32,1,3,0,0,0,0,0,35,1
"Geerkens, Tom",2022,2023,3,0,0,0,0,0,0,0,3,0
"Gensch, Oliver",1989,1989,0,0,1,0,0,0,0,0,1,0
"Gensler, Andreas",1999,2000,22,1,0,0,0,0,0,0,22,1
"Gerhardt, Waldemar",1965,1969,92,42,4,2,0,0,6,3,102,47
"Gesell, Josef",1947,1950,42,0,0,0,0,0,0,0,42,0
"Geye, Reiner",1968,1977,286,116,29,9,11,2,8,2,334,129
"Gianniotas, Giannis",2013,2013,8,1,0,0,0,0,0,0,8,1
"Giefer, Fabian",2012,2014,64,0,4,0,0,0,0,0,68,0
"Gießelmann, Niko",2017,2020,88,4,7,0,0,0,0,0,95,4
"Ginczek, Daniel",2022,aktiv,36,8,3,2,0,0,0,0,39,10
"Giskes, Karl-Heinz",1962,1962,1,0,0,0,0,0,0,0,1,0
"Glar, Willy",1948,1948,1,0,0,0,0,0,0,0,1,0
"Glavaš, Vlatko",1993,1996,95,14,7,0,0,0,5,3,107,17
"Glowacki, Paul",1940,1940,0,0,3,0,0,0,3,0,6,0
"Gökbayrak, Ahmet[2]",2004,2004,0,0,2,0,0,0,0,0,2,0
"Golley, Timm",2014,2014,10,1,0,0,0,0,0,0,10,1
"Golombek, Andreas",1996,1996,3,0,0,0,0,0,0,0,3,0
"Golsch, Karlheinz",1950,1954,11,1,0,0,0,0,0,0,11,1
"Gores, Rudi",1982,1983,15,1,2,0,0,0,0,0,17,1
"Görtz, Albert",1957,1966,172,0,7,0,0,0,0,0,179,0
"Gottschall, Karl",1927,1929,0,0,0,0,0,0,2,0,2,0
"Götzinger, August",1927,1929,0,0,0,0,0,0,2,0,2,0
"Grabotin, Dietmar",1984,1987,36,0,1,0,0,0,0,0,37,0
"Graf, Helmut",1969,1970,13,2,0,0,0,0,0,0,13,2
"Gramminger, Karl",1952,1958,156,81,3,1,0,0,0,0,159,82
"Gramminger, Martin",1952,1958,146,49,3,0,0,0,0,0,149,49
"Greiner, Uwe",1984,1985,42,0,3,0,0,0,0,0,45,0
"Grimaldi, Adriano",2011,2011,7,1,2,0,0,0,0,0,9,1
"Gronen, Herbert",1971,1972,20,1,3,0,0,0,0,0,23,1
"Gühler, Rudi",1939,1941,0,0,9,4,0,0,6,7,15,11
"Gül, Gökhan",2017,2017,1,0,0,0,0,0,0,0,1,0
"Gümüstas, Murat",2004,2005,5,0,0,0,0,0,0,0,5,0
"Günther, Emanuel",1978,1979,13,4,2,2,4,2,0,0,19,8
"Günther, Walter",1949,1949,1,0,0,0,0,0,0,0,1,0
"Guthleber, Laurent",2004,2005,12,0,2,0,0,0,0,0,14,0
"Häfner, Horst",1963,1967,114,9,2,0,0,0,5,0,121,9
"Hägele, Hans",1970,1971,3,0,0,0,0,0,0,0,3,0
"Hagemes, Uwe",1992,1992,3,0,1,0,0,0,0,0,4,0
"Haggui, Karim",2015,2016,29,1,1,0,0,0,0,0,30,1
"Hahnen, Gerhard",1939,1939,0,0,0,0,0,0,1,0,1,0
"Halat, Kemal",1999,2000,49,2,2,0,0,0,0,0,51,2
"Halet, Clément",2008,2009,25,0,1,0,0,0,0,0,26,0
"Halloran, Ben",2013,2015,37,8,0,0,0,0,0,0,37,8
"Hampel, Oliver",2007,2009,32,2,5,1,0,0,0,0,37,3
"Hansen, Walter",1963,1963,3,0,0,0,0,0,0,0,3,0
"Haraguchi, Genki",2018,2018,13,1,0,0,0,0,0,0,13,1
"Hardtke, Harald",1959,1960,12,1,0,0,0,0,0,0,12,1
"Harnik, Martin",2009,2010,30,13,0,0,0,0,0,0,30,13
"Harpers, Gerhard",1956,1959,29,7,1,0,0,0,0,0,30,7
"Hartherz, Florian",2020,2022,32,1,3,0,0,0,0,0,35,1
"Heeren, Henri",2005,2008,68,5,5,2,0,0,0,0,73,7
"Heibach, Hans",1936,1951,62,6,11,6,0,0,18,5,91,17
"Heide, Christian",1988,1989,17,0,0,0,0,0,0,0,17,0
"Heidinger, Sebastian",2007,2010,61,6,4,0,0,0,0,0,65,6
"Heller, Stephan",1999,2000,4,0,0,0,0,0,0,0,4,0
"Hellingrath, Hans-Josef",1961,1967,151,10,3,0,0,0,6,1,160,11
"Helmreich, Leonhard",1972,1972,10,0,5,0,0,0,0,0,15,0
"Hendrix, Jorrit",2022,2023,20,0,1,0,0,0,0,0,21,0
"Henke, Alfred",1951,1952,12,1,0,0,0,0,0,0,12,1
"Henne, Erich",1949,1953,68,12,0,0,0,0,0,0,68,12
"Hennings, Rouwen",2016,2023,213,72,16,12,0,0,0,0,229,84
"Herbertz, Otto",1963,1965,14,2,0,0,0,0,0,0,14,2
"Hergesell, Fabian",2007,2010,69,1,5,0,0,0,0,0,74,1
"Herzog, Dieter",1970,1976,201,53,28,18,12,3,8,6,249,80
"Hesse, Fred",1966,1976,297,16,29,2,6,1,5,0,337,19
"Hetfeld, Willi",1966,1970,87,20,1,0,0,0,0,0,88,20
"Hey, Antoine",1989,2000,73,6,2,0,0,0,0,0,75,6
"Hickersberger, Josef",1976,1978,59,5,9,1,0,0,0,0,68,6
"Hochgesang, Georg",1929,1933,0,0,0,0,0,0,6,7,6,7
"Hoersen, Thomas",2004,2005,16,0,2,0,0,0,0,0,18,0
"Hoffer, Erwin",2013,2015,45,13,1,0,0,0,0,0,46,13
"Hoffer, Hilmar",1960,1972,256,38,11,3,0,0,11,3,278,44
"Hoffmann, André",2017,aktiv,136,9,12,1,0,0,0,0,148,10
"Hoffmann, Gerd",1952,1955,65,0,0,0,0,0,0,0,65,0
"Hoffmann, Karl",1955,1965,258,5,8,1,0,0,0,0,266,6
"Hoffmann, Peter",1939,1939,0,0,1,0,0,0,3,0,4,0
"Hofmann, Herbert",1952,1953,15,5,0,0,0,0,0,0,15,5
"Höllriegel, Max",1959,1963,15,3,0,0,0,0,0,0,15,3
"Holmqvist, Hans",1984,1986,59,19,4,3,0,0,0,0,63,22
"Holthaus, Fabian",2015,2015,2,0,1,0,0,0,0,0,3,0
"Homberg, Wolfgang",1992,1992,9,1,0,0,0,0,0,0,9,1
"Hopp, Michael",2001,2003,45,3,1,0,0,0,0,0,46,3
"Hoßdorf, Heinz",1951,1954,30,0,0,0,0,0,0,0,30,0
"Höttges, Hans",1949,1949,2,1,0,0,0,0,0,0,2,1
"Huschbeck, Thomas",1992,1992,14,0,1,0,0,0,0,0,15,0
"Hust, Nicolaj",2004,2005,18,0,2,0,0,0,0,0,20,0
"Hutka, Joachim",1981,1982,21,1,1,0,0,0,0,0,22,1
"Hutwelker, Karsten",1990,1993,74,7,7,3,0,0,0,0,81,10
"Ibrahim, Dennis",1996,1997,4,0,1,0,0,0,0,0,5,0
"Ilsø, Ken",2011,2013,69,13,2,0,0,0,2,0,73,13
"Isteni?, Rudi",1995,1999,107,3,8,0,0,0,0,0,115,3
"Iwanzik, Klaus",1967,1972,106,4,7,0,0,0,8,0,121,4
"Iyoha, Emmanuel",2015,aktiv,78,5,3,1,0,0,0,0,81,6
"Jack, Mathias",1997,1999,36,1,1,0,0,0,0,0,37,1
Jäger,1949,1950,1,0,0,0,0,0,0,0,1,0
"Jäger, Günter",1957,1962,140,1,5,0,0,0,0,0,145,1
"Jäger, Herbert",1952,1957,71,1,1,0,0,0,0,0,72,1
"Jakobs, Werner",1984,1986,20,0,6,1,0,0,0,0,26,1
"Jan?ula, Tibor",1997,1998,15,2,1,0,0,0,0,0,16,2
"Janes, Paul",1931,1950,73,14,21,7,0,0,36,5,130,26
"Janssen, Daniel",1995,1995,1,0,0,0,0,0,0,0,1,0
"Janssen, Heinz",1956,1963,161,59,4,2,0,0,0,0,165,61
"Jastrzembski, Dennis",2023,aktiv,1,0,0,0,0,0,0,0,1,0
"Jensen, Henrik Ravn",1986,1988,25,8,4,0,0,0,0,0,29,8
"Jestremski, Werner",1965,1969,82,1,5,0,0,0,6,0,93,1
"Jóhannesson, Ísak",2023,aktiv,2,0,1,0,0,0,0,0,3,0
"Jörres, Guido",1998,2002,88,9,1,0,0,0,0,0,89,9
"Jovanovi?, Ranisav",2008,2012,86,19,4,1,0,0,2,1,92,21
Juanan,2011,2013,34,2,3,0,0,0,2,0,39,2
"Judt, Thorsten",1995,1997,58,4,4,1,0,0,0,0,62,5
"Jung, Dietmar",1960,1961,2,0,0,0,0,0,0,0,2,0
"Juran, Sergej",1996,1997,16,5,1,0,0,0,0,0,17,5
"Juric, Frank",1997,1999,36,0,2,0,0,0,0,0,38,0
"Juskowiak, Erich",1953,1961,196,32,5,0,0,0,0,0,201,32
"Kadah, Deniz",2008,2009,25,3,1,0,0,0,0,0,26,3
"Kägebein, René",2000,2000,10,1,0,0,0,0,0,0,10,1
"Kaiser, Andreas",1984,1993,193,9,19,1,0,0,0,0,212,10
"Kami?ski, Marcin",2018,2019,27,0,0,0,0,0,0,0,27,0
"Kanders, Ludger",1981,1983,22,0,2,1,0,0,0,0,24,1
"Karaman, Kenan",2018,2021,69,16,3,0,0,0,0,0,72,16
"Karbownik, Micha?",2022,2023,26,1,1,0,0,0,0,0,27,1
"Kargus, Rudi",1986,1987,20,0,4,0,0,0,0,0,24,0
"Karpes, Walter",1940,1940,0,0,4,1,0,0,3,0,7,1
"Kastenmeier, Florian",2019,aktiv,116,0,10,0,0,0,0,0,126,0
"Kastrati, Bekim",2007,2009,37,5,3,2,0,0,0,0,40,7
"Katemann, Harald",1994,1999,124,7,8,1,0,0,0,0,132,8
"Keim, Andreas",1985,1987,48,6,4,1,0,0,0,0,52,7
"Kempers, Christoph",2000,2000,28,5,0,0,0,0,0,0,28,5
"Kenia, Levan",2013,2014,11,0,1,0,0,0,0,0,12,0
"Kern, Bruno",1987,1987,1,0,0,0,0,0,0,0,1,0
"Kern, Heinz",1949,1950,21,9,0,0,0,0,0,0,21,9
"Kern, Rolf",1949,1958,193,43,1,0,0,0,0,0,194,43
"Kiesewetter, Jerome",2016,2017,21,2,2,0,0,0,0,0,23,2
"Kimmel, Michael",1988,1990,26,0,1,0,0,0,0,0,27,0
"Kinj?, Justin",2016,2016,1,0,1,0,0,0,0,0,2,0
"Kirn, Frank",1986,1986,1,0,0,0,0,0,0,0,1,0
"Kizilaslan, Engin",2002,2006,56,3,8,1,0,0,0,0,64,4
"Klarer, Christoph",2020,2023,74,5,6,0,0,0,0,0,80,5
"Klaus, Felix",2021,aktiv,75,10,6,0,0,0,0,0,81,10
"Kleff, Wolfgang",1982,1984,59,0,3,0,0,0,0,0,62,0
Klein,1985,1985,0,0,1,0,0,0,0,0,1,0
"Klein, Wolfram",1999,2000,19,0,0,0,0,0,0,0,19,0
"Klessa, Hans",1961,1964,44,0,0,0,0,0,0,0,44,0
"Klier, Gerd",1967,1968,15,7,0,0,0,0,0,0,15,7
"Klimczok, Marek",2007,2008,6,0,3,1,0,0,0,0,9,1
"Klose, Heinz",1950,1959,101,0,3,0,0,0,0,0,104,0
"Klotz, Bernd",1988,1990,42,11,4,1,0,0,0,0,46,12
"Kluth, Bernhard",1939,1941,0,0,5,7,0,0,1,2,6,9
"Kluth, Ernst",1936,1938,0,0,6,0,0,0,5,0,11,0
"Kneißl, Sebastian",2007,2007,13,2,0,0,0,0,0,0,13,2
"Knepper, Willi",1948,1949,7,0,0,0,0,0,0,0,7,0
"Knopf, Georg",1955,1957,28,0,0,0,0,0,0,0,28,0
"Kobierski, Stanislaus",1931,1950,4,2,18,13,0,0,39,10,61,25
"Kocaman, Ümit",2003,2003,3,0,0,0,0,0,0,0,3,0
"Koch, Georg",1992,1997,131,0,7,0,0,0,6,0,144,0
"Koch, Julian",2015,2016,34,0,2,0,0,0,0,0,36,0
"Koch, Jürgen",1966,1967,16,2,1,1,0,0,0,0,17,3
"Koch, Tobias",2002,2004,14,0,1,0,0,0,0,0,15,0
"Ko?iš, Róbert",1996,1997,7,1,2,0,0,0,0,0,9,1
"Köhler, Heinrich",1929,1931,0,0,0,0,0,0,2,1,2,1
"Köhn, Franz",1948,1951,27,6,0,0,0,0,0,0,27,6
"Köhnen, Egon",1967,1981,376,17,51,9,20,2,8,2,455,30
"Kondev, Boris",2001,2002,26,6,0,0,0,0,0,0,26,6
